Startup ID,Industry,Funding Rounds,Investment Amount (USD),Valuation (USD),Number of Investors,Country,Year Founded,Growth Rate (%)
37,AI,10,4411234804.76,11691080168.1,50,Canada,2011,147.11
38,Fintech,6,2725867165.62,4089854368.77,19,USA,2022,187.72
39,HealthTech,5,4790851851.76,22981467971.67,20,USA,2001,33.71
40,AI,1,2751786274.72,8856652982.29,14,India,2005,97.9
41,AI,5,3972168775.93,18893051079.68,49,Canada,2016,104.99
42,EdTech,9,1036222596.89,3964715622.18,25,Australia,2016,110.52
43,E-commerce,5,1638827482.93,3545351528.31,38,Brazil,2017,167.34
44,SaaS,5,2767906479.48,11784319878.46,17,USA,2005,153.61
45,E-commerce,7,3480520968.8,13041915911.93,30,France,2010,125.65
46,AI,5,3254439463.31,7876334439.05,20,Australia,2016,147.04
47,Blockchain,6,4032615160.05,20078014719.07,38,France,2000,48.73
48,E-commerce,2,475269528.08,2223977127.63,49,Germany,2012,48.13
49,Biotech,2,4897855433.55,8005010523.68,16,France,2011,122.39
50,HealthTech,10,1979604878.09,8694160540.97,4,UK,2013,12.64
51,Blockchain,4,2876153119.3,5826669173.86,18,Australia,2001,138.19
52,Fintech,8,2321745880.25,6758206634.67,32,USA,2000,192.74
53,Blockchain,10,675587864.57,1229453482.54,26,USA,2014,139.82
54,E-commerce,3,1176101216.28,3251064586.12,4,Australia,2002,198.29
55,HealthTech,2,3604778899.84,16922409671.52,3,Germany,2018,71.9
56,E-commerce,7,4830737938.1,17347814945.72,5,Brazil,2020,92.66
57,SaaS,1,4360313592.0,9907684658.83,37,China,2019,160.82
58,HealthTech,6,2028361128.74,6102998475.33,29,Germany,2009,119.37
59,AI,2,2756855232.44,11130347512.39,25,Australia,2007,157.0
60,Fintech,6,820455124.6,1840836654.76,31,Australia,2009,57.83
61,AI,5,4437872047.6,6878102854.76,22,Singapore,2013,107.86
62,SaaS,8,1924235656.36,3798190442.15,37,UK,2010,104.21
63,Biotech,4,2463967074.34,5665325649.96,44,France,2008,53.86
64,E-commerce,3,4470788164.24,19418366785.33,16,USA,2019,58.4
65,AI,3,4815534280.92,20158491149.73,45,China,2008,25.42
66,AI,6,365913860.56,1672037254.11,21,India,2017,144.35
67,SaaS,6,2996659583.02,4667230455.88,48,Brazil,2006,62.22
68,AI,3,3711464088.69,11066201278.74,15,Canada,2013,87.42
69,Biotech,6,928128649.47,4634153806.24,21,Australia,2007,187.21
70,Blockchain,1,2603523861.44,9563072271.64,19,France,2007,107.67
71,HealthTech,7,3644872687.35,11926210327.43,14,Canada,2010,59.98
72,Blockchain,4,744631010.32,1620392801.42,2,Singapore,2008,123.34
73,E-commerce,8,1344780386.06,4537818813.98,19,Australia,2005,179.18
74,Fintech,3,491018020.84,1354841680.0,20,India,2013,165.57
75,Biotech,1,1582882524.88,5586959852.45,16,India,2020,144.16
76,SaaS,10,1085427021.26,4630172763.53,18,Australia,2016,91.33
77,Blockchain,7,1340475423.36,2357879218.23,20,Singapore,2004,81.98
78,HealthTech,8,4940530156.26,23772801009.4,14,India,2021,108.11
79,Fintech,8,2749898672.7,5542968257.29,9,Germany,2011,189.55
80,E-commerce,8,4533989298.71,8054285187.15,22,India,2005,69.71
81,Biotech,8,844854106.72,2590555965.71,23,USA,2002,69.33
82,HealthTech,1,3631343014.13,7772600871.78,34,USA,2010,28.16
83,EdTech,8,3689561074.31,15527195348.04,32,Singapore,2012,159.5
84,SaaS,1,1876264361.81,6903335389.09,14,Singapore,2023,118.95
85,Biotech,5,2447270415.5,8095858828.07,27,China,2021,129.03
86,Biotech,7,2407386442.25,8783700785.21,10,Germany,2002,182.23
87,HealthTech,2,4730860833.16,8195466150.18,34,Canada,2000,170.46
88,AI,3,2700679626.1,4800271506.76,14,Australia,2020,107.0
89,SaaS,9,1054977036.09,3208096453.8,31,China,2005,157.79
90,E-commerce,9,2701705689.18,10238979645.81,8,Australia,2010,104.13
91,SaaS,7,1480174017.83,6153889306.39,24,USA,2016,159.77
92,Blockchain,7,1868556515.9,5626482827.87,48,China,2006,74.81
93,HealthTech,4,4965764721.83,22063441300.71,19,USA,2022,185.18
94,EdTech,6,4373093561.43,14431864169.34,21,Singapore,2017,31.3
95,HealthTech,4,4236712037.57,18506506243.39,21,Canada,2012,27.37
96,Fintech,3,835931781.31,2239262009.88,23,Singapore,2017,162.48
97,EdTech,7,1110163040.41,3432586808.66,43,France,2012,122.79
98,SaaS,5,817466253.48,2610638765.12,40,Brazil,2010,160.46
99,E-commerce,3,540940572.76,2291586359.29,42,France,2001,59.69
100,Blockchain,8,3308060362.77,5174334068.13,39,Canada,2005,5.42
101,Fintech,3,222399646.12,866057139.43,9,UK,2005,14.62
102,EdTech,7,4504529995.14,18845746993.93,21,Singapore,2018,195.16
103,Blockchain,4,4777022152.23,9085127518.3,8,Australia,2007,40.44
104,Biotech,1,4255546911.86,11515638960.57,9,USA,2000,92.03
105,Fintech,10,4055211093.34,16887114468.16,21,Australia,2009,109.49
106,E-commerce,5,1022453449.75,2849976436.58,45,France,2023,22.65
107,SaaS,7,1862792339.72,8231911404.89,25,Germany,2013,151.19
108,SaaS,3,2793350138.78,6641452650.35,24,Germany,2012,169.31
109,EdTech,1,190552569.77,579122421.69,21,Singapore,2015,6.85
110,E-commerce,3,4176182629.51,10240648046.88,37,Australia,2003,36.45
111,HealthTech,4,291159535.66,1212955100.37,26,UK,2001,98.27
112,SaaS,6,3957776781.25,13305043815.74,6,USA,2001,14.82
113,Biotech,2,4061720586.36,7008812342.15,34,Brazil,2018,87.1
114,Biotech,2,1973996602.66,5342730965.92,25,Australia,2017,21.01
115,SaaS,6,1207908188.67,5176553240.22,24,Germany,2018,135.34
116,HealthTech,10,4148060234.72,19654238527.67,12,Singapore,2020,192.62
117,HealthTech,5,297037415.8,631590080.98,27,Germany,2022,10.75
118,EdTech,5,3187593538.06,14966432137.19,2,France,2021,166.15
119,Biotech,9,4898710204.12,10016527782.74,9,France,2004,107.44
120,AI,1,2434425122.57,7540340367.75,8,USA,2003,175.64
121,Fintech,8,3231666823.75,8713378948.19,15,Brazil,2014,62.93
122,HealthTech,7,359706950.69,893681743.53,45,Australia,2007,139.11
123,EdTech,7,12109878.52,35333149.76,35,France,2001,61.1
124,AI,4,4058325476.85,10666646232.55,3,China,2014,172.42
125,Biotech,9,1049458896.63,3791331978.25,24,Brazil,2004,100.65
126,E-commerce,6,4243311793.92,20389236539.75,12,Canada,2014,20.41
127,SaaS,9,4724792423.72,22577045559.21,36,Canada,2014,148.05
128,Blockchain,1,996364970.4,4709629475.22,35,Singapore,2010,181.98
129,Blockchain,6,3357130456.98,13831720869.29,14,Brazil,2011,131.76
130,Biotech,10,1485976623.94,5820844542.54,40,Germany,2017,112.16
131,EdTech,9,1086640783.67,3375032748.53,50,Brazil,2023,179.37
132,Blockchain,4,670778423.23,2036188591.0,31,Singapore,2021,75.42
133,AI,9,2162442988.16,9684369294.3,13,USA,2011,121.76
134,Blockchain,1,3353919321.47,14101768667.14,30,Germany,2008,77.07
135,EdTech,4,2832206309.3,8112943643.79,32,Brazil,2010,111.76
136,EdTech,1,3021364194.14,8955654521.83,23,Singapore,2017,6.27
137,Biotech,9,1946598865.69,3284018974.77,47,China,2017,101.04
138,Fintech,8,1489972758.45,6800634564.46,27,China,2022,35.29
139,SaaS,10,3735587366.9,12047108054.16,26,Brazil,2016,98.03
140,Fintech,8,518119024.64,1848811352.67,4,Australia,2023,60.11
141,SaaS,10,2947681328.36,10472893197.38,4,UK,2022,115.34
142,HealthTech,5,1977534387.2,7797893013.34,19,India,2005,181.97
143,Fintech,3,4770544813.57,12197472011.33,20,Singapore,2000,34.12
144,AI,1,3369684711.8,12010652855.45,47,Brazil,2022,60.81
145,EdTech,10,4766934837.14,22688495648.33,10,France,2005,37.06
146,Fintech,9,3908318141.0,15444336263.03,31,Germany,2018,142.43
147,SaaS,9,4769084379.19,14035036447.84,41,China,2021,192.97
148,EdTech,10,4955751623.38,16105806924.65,31,Canada,2014,68.54
149,SaaS,2,910772164.92,1496492548.49,8,India,2013,36.1
150,EdTech,10,1170195349.16,2107219309.26,9,Canada,2022,92.8
151,Fintech,6,1967034352.33,5472960035.67,17,Australia,2007,65.59
152,Biotech,2,621222707.35,2548933014.43,32,UK,2007,157.7
153,Biotech,10,2136105819.3,6159536137.74,12,India,2020,69.58
154,EdTech,3,2368764171.87,11722669062.17,32,France,2002,118.16
155,Blockchain,1,821122733.28,3928588827.5,26,Germany,2019,198.98
156,Biotech,5,4780102280.95,19249131120.15,50,USA,2019,33.75
157,AI,4,2804170174.14,6711381134.88,1,India,2008,49.31
158,EdTech,9,1210756532.74,5972236369.37,25,Singapore,2011,143.16
159,AI,4,3380537691.88,13459651069.25,36,Brazil,2011,34.61
160,AI,8,4661985381.5,22098096261.68,43,China,2012,51.38
161,AI,1,408425258.08,1371906998.98,6,Brazil,2020,104.06
162,EdTech,1,1953427282.17,8347575180.93,44,UK,2019,53.66
163,AI,6,2108321986.66,7771127335.71,3,Australia,2020,198.66
164,E-commerce,8,2579938016.52,12689109686.17,28,Germany,2018,124.32
165,HealthTech,3,1792797298.66,8885946522.64,30,France,2018,106.38
166,Fintech,7,2225176804.86,7460309814.82,11,Singapore,2017,161.14
167,AI,4,3942136132.46,13331722858.07,18,Canada,2011,194.8
168,SaaS,5,2050994893.77,3323018202.05,50,Australia,2015,58.52
169,EdTech,1,1497188953.5,3463957403.99,4,India,2013,84.16
170,EdTech,7,2795286271.07,9372294266.06,11,Brazil,2005,26.14
171,E-commerce,6,4069844380.58,10407319506.51,24,China,2015,29.38
172,SaaS,9,74056826.76,231893726.74,41,Canada,2009,20.57
173,AI,8,4160635769.99,7671882583.85,17,Canada,2021,117.18
174,E-commerce,7,1246281478.08,3529517302.8,44,USA,2022,146.5
175,Fintech,10,2163501159.34,5677567960.28,23,India,2018,144.39
176,E-commerce,10,3023593160.48,9708896500.83,2,Germany,2011,174.66
177,AI,6,4022507020.31,17218730897.77,10,Canada,2018,74.68
178,Blockchain,8,2639730016.81,8690078938.98,50,Germany,2023,190.91
179,EdTech,8,2980685741.88,6492509510.23,49,Brazil,2015,190.16
180,Biotech,5,4585075338.58,19523891245.31,36,Germany,2002,129.84
181,Fintech,9,3472230658.56,14970962379.88,20,Singapore,2022,135.39
182,SaaS,5,2676973040.4,10097355729.53,30,Singapore,2019,79.06
183,Blockchain,2,859760107.91,3760108625.52,19,USA,2006,69.53
184,Fintech,2,4718625604.18,15939288190.45,43,France,2021,36.79
185,E-commerce,10,2159651827.77,9752567479.61,4,Germany,2013,119.32
186,E-commerce,9,3419195284.17,9807518461.78,31,Australia,2000,146.31
187,Fintech,1,4692850983.3,9430583718.75,38,Australia,2019,163.14
188,AI,3,933765489.98,3396760378.71,35,Germany,2012,38.02
189,SaaS,8,731636879.73,1108299044.85,15,Canada,2013,39.55
190,HealthTech,1,443939762.53,697379814.58,33,USA,2023,102.51
191,EdTech,5,3537897853.25,10415760749.11,24,UK,2002,87.76
192,HealthTech,6,2454112015.39,4119459442.38,31,UK,2017,92.85
193,Biotech,3,3028499025.45,8249717640.81,23,Brazil,2001,166.84
194,AI,6,1512009898.68,5283177735.68,8,China,2003,14.29
195,Blockchain,6,4322413750.27,20690412801.23,12,Brazil,2019,121.4
196,Biotech,8,168565481.2,727195576.38,5,UK,2013,171.9
197,E-commerce,9,4179505137.7,8856665634.21,29,Germany,2000,75.7
198,AI,9,2228321054.22,8017264022.35,1,Australia,2002,74.59
199,Fintech,5,633792175.1,2966463386.12,34,India,2015,91.34
200,SaaS,6,1475455253.97,3684352503.9,4,Germany,2013,144.69
201,EdTech,3,542731279.17,1969040721.45,1,Australia,2019,24.45
202,HealthTech,10,4330028544.99,7931295284.57,1,Canada,2013,40.6
203,SaaS,6,685270370.05,2402454292.43,50,Australia,2006,47.31
204,HealthTech,6,1258425677.69,5298085929.75,8,Australia,2013,37.21
205,SaaS,1,1550418955.9,6253327057.4,2,India,2004,98.86
206,Fintech,4,4746683505.45,7761659263.09,24,USA,2016,130.02
207,Fintech,6,3624908618.04,12768911221.39,16,France,2015,53.41
208,Biotech,4,3348055915.81,11313994823.99,39,USA,2004,16.08
209,SaaS,10,2059767260.11,9029865493.37,11,Singapore,2021,110.7
210,EdTech,9,998855411.79,4208170808.15,8,Brazil,2011,151.06
211,EdTech,6,4645711353.76,14179348714.22,24,India,2021,177.87
212,AI,6,3728949345.33,15948353330.9,21,Singapore,2023,111.77
213,AI,5,2787690069.46,10481365711.54,45,China,2009,10.48
214,EdTech,9,2679394095.8,11494147053.68,10,China,2010,165.9
215,EdTech,7,439284861.62,1562829428.65,27,India,2019,106.86
216,Biotech,9,2577216182.09,12253644328.43,28,China,2016,140.7
217,Biotech,4,4445077510.45,22111913741.37,43,China,2018,141.44
218,Blockchain,4,4695901675.82,20788206317.31,42,UK,2017,90.56
219,SaaS,5,3506488816.37,16858063236.61,29,UK,2021,188.35
220,AI,2,3243318328.48,8884770582.0,34,UK,2012,65.43
221,Fintech,10,2390702822.95,9276016886.42,42,China,2010,104.42
222,Biotech,7,3377630330.67,9382352167.44,4,China,2018,153.71
223,HealthTech,8,3458218709.89,7842816033.9,9,Brazil,2014,138.81
224,Fintech,7,3731753092.25,16420535787.81,50,France,2018,160.96
225,Biotech,7,3632948850.48,13901643179.47,6,India,2010,26.01
226,AI,9,1266365818.93,6118534838.58,35,USA,2015,42.96
227,Fintech,2,3823899177.04,18201047898.48,50,Germany,2005,103.9
228,EdTech,8,363240396.83,1219367670.24,25,India,2011,102.15
229,EdTech,8,386027409.33,1930125716.33,26,China,2016,105.83
230,AI,4,1695120557.5,5083482836.03,1,USA,2004,100.82
231,AI,9,652805002.99,1395188276.03,22,Canada,2005,25.26
232,Blockchain,8,854377165.54,2728289650.98,31,Australia,2007,29.43
233,HealthTech,9,1075247880.98,4790224564.96,11,Germany,2015,130.56
234,Blockchain,8,400841101.43,662110760.74,15,Brazil,2010,198.01
235,E-commerce,5,379381502.74,747379334.65,39,Canada,2019,122.77
236,Fintech,4,4197876048.33,12825152328.55,8,Canada,2000,76.55
237,Biotech,9,2527949676.1,4204560908.76,19,France,2010,119.46
238,E-commerce,2,1093248259.89,2279779309.41,35,Australia,2003,140.86
239,HealthTech,7,4023736139.69,14714029689.87,36,USA,2016,16.34
240,SaaS,7,1253743174.76,4041124098.23,45,UK,2018,63.38
241,EdTech,10,1017523655.27,3688922130.49,33,India,2022,158.64
242,E-commerce,5,1342310942.23,3446562281.07,24,Brazil,2021,57.58
243,Fintech,3,2717142585.21,11642202397.1,15,Canada,2023,156.11
244,Fintech,7,2043421497.37,5265703195.46,28,Brazil,2018,33.62
245,EdTech,10,4898183493.34,22870233548.12,4,Canada,2014,86.74
246,Blockchain,1,2240610148.38,5028323038.99,24,Australia,2019,114.88
247,Biotech,4,2271018470.67,4837009968.87,48,India,2016,105.47
248,EdTech,8,4247685608.22,7909848190.51,25,Brazil,2000,153.65
249,Fintech,6,2133781809.28,7258306476.79,6,Singapore,2001,69.38
250,HealthTech,1,1520118508.17,6084662753.81,44,UK,2005,153.25
251,Blockchain,6,3000757848.42,5904647394.33,21,USA,2017,88.31
252,AI,4,4346289463.85,7001483722.25,28,India,2021,149.6
253,HealthTech,3,1723538065.72,3114308797.64,11,Australia,2020,83.32
254,Fintech,1,1182544803.45,4393227757.74,2,UK,2006,10.96
255,AI,1,2063226365.66,7644608141.13,14,USA,2015,156.25
256,Fintech,2,4597521560.08,14390499979.69,39,Canada,2015,192.68
257,AI,10,1374644681.58,6097130881.92,38,Germany,2000,14.04
258,EdTech,4,1750123034.6,4508754227.43,27,Germany,2001,167.53
259,Biotech,2,2332266749.1,11093368482.26,38,USA,2015,8.66
260,Biotech,3,528679036.65,2636579981.11,48,Brazil,2003,191.88
261,E-commerce,2,3543353980.54,14166396321.98,8,Singapore,2001,33.04
262,EdTech,5,3564928262.83,16855295900.78,19,Germany,2011,129.82
263,Biotech,4,1227999591.44,3925379084.69,7,China,2003,56.28
264,SaaS,5,2383040228.11,5541034771.26,14,China,2010,158.96
265,E-commerce,9,4201382899.47,6890778313.59,36,UK,2003,183.68
266,E-commerce,9,2078074160.43,3660002170.21,23,Germany,2022,70.97
267,E-commerce,9,2350701523.66,10258454822.64,29,Canada,2004,80.76
268,AI,2,2730965394.87,11642934284.16,47,Australia,2017,8.18
269,AI,2,866649670.39,1996872950.99,29,Singapore,2009,102.04
270,Biotech,8,2807336928.31,13664307167.48,48,Singapore,2009,115.39
271,E-commerce,8,2718670322.77,4198200861.99,16,France,2008,91.48
272,Biotech,4,3036366847.86,10259128392.31,14,Singapore,2013,88.75
273,Fintech,2,3733885388.61,14349424226.24,24,Brazil,2023,47.81
274,SaaS,10,1374121897.47,6101680789.0,17,Singapore,2021,191.49
275,E-commerce,1,1910177328.71,9043004199.52,47,USA,2000,114.64
276,Blockchain,1,1851348304.06,7285139646.55,48,Brazil,2001,28.82
277,HealthTech,8,557513324.84,900017797.16,49,Singapore,2022,64.87
278,EdTech,2,3728214009.3,6084761595.11,18,UK,2020,150.9
279,AI,7,3426004016.16,10176253842.54,36,Germany,2015,84.19
280,E-commerce,9,4199399903.81,10507816026.81,5,Canada,2015,82.77
281,Biotech,9,4429201419.3,12868229775.43,33,India,2006,5.06
282,SaaS,5,4017662422.97,8049152109.16,14,Singapore,2011,102.75
283,EdTech,6,1983050394.4,6548855343.68,42,Brazil,2007,138.6
284,AI,9,3446049313.9,14038594476.51,46,China,2003,154.18
285,E-commerce,10,3286018254.96,13024216131.98,1,Australia,2008,153.81
286,EdTech,3,758989177.0,2810879811.04,3,France,2012,165.73
287,HealthTech,9,272245749.16,586823837.53,20,Singapore,2010,37.6
288,EdTech,5,3536485933.08,13706551232.89,31,Canada,2003,55.53
289,Biotech,4,1111359775.46,3461402771.35,41,Brazil,2008,151.06
290,HealthTech,2,2815145008.41,7938799567.47,42,Germany,2009,110.84
291,HealthTech,10,3256827302.84,8356443833.39,27,France,2009,20.63
292,AI,9,4811067145.95,15974120040.94,29,Australia,2006,177.41
293,Blockchain,6,1317604310.2,3633511531.88,1,Brazil,2007,34.8
294,Biotech,8,307683729.81,946106844.73,3,Brazil,2019,194.96
295,AI,8,2668300646.16,4466157555.43,48,Australia,2016,20.79
296,Fintech,10,3909244045.54,9917338640.9,31,Canada,2003,142.91
297,Fintech,10,3548649517.26,14213489868.56,36,France,2013,65.5
298,Blockchain,1,3711959836.21,12422356505.84,24,UK,2022,164.21
299,Blockchain,9,1196962004.3,2365314262.25,17,India,2012,100.81
300,EdTech,5,1886066715.08,9022527749.91,7,Brazil,2009,51.42
301,Blockchain,5,3892965584.92,18147745226.08,40,Canada,2009,61.66
302,HealthTech,5,2870553188.63,12659357265.21,20,Brazil,2002,81.38
303,AI,6,3071473663.91,12822732523.99,27,India,2005,45.14
304,E-commerce,9,243141363.56,1095687007.46,10,UK,2021,90.91
305,Fintech,4,2624105744.24,6449886361.71,31,Canada,2006,160.76
306,Fintech,5,3504415468.77,12551816823.24,40,Brazil,2023,187.78
307,HealthTech,6,2383337774.89,4277942084.26,38,Australia,2007,82.24
308,Blockchain,4,999722963.5,1867118152.31,37,Singapore,2014,44.33
309,Biotech,7,1902244072.14,5224433496.72,28,UK,2020,15.66
310,EdTech,5,3913849603.83,15026684239.0,34,UK,2020,69.41
311,AI,8,556489564.23,1373231565.22,12,France,2017,164.4
312,Fintech,10,2263649695.87,4120683165.23,39,USA,2023,26.96
313,Biotech,4,4580496812.16,7186503246.45,32,Brazil,2017,86.41
314,AI,4,88022376.7,305567170.67,30,Australia,2023,83.51
315,HealthTech,7,181388776.52,501478318.9,50,Australia,2015,179.5
316,AI,7,3064309690.41,6281758015.43,14,India,2019,63.07
317,Fintech,7,4234699339.18,10936348473.17,18,UK,2000,26.54
318,Biotech,2,572692370.7,1282025513.38,24,Germany,2015,125.51
319,EdTech,5,2550126891.56,12370909256.72,31,Singapore,2016,167.52
320,AI,8,1891274738.16,5257962346.37,14,Canada,2020,161.65
321,AI,3,1935618157.72,4783106425.72,29,Singapore,2021,25.9
322,SaaS,2,2042971783.75,7247814827.63,30,France,2010,124.72
323,SaaS,2,2427592593.64,4737980887.93,39,Brazil,2000,68.89
324,AI,5,3537064312.9,17158731566.59,10,Singapore,2013,29.71
325,Fintech,1,3224985024.02,12294854490.07,7,Australia,2010,127.81
326,HealthTech,10,4334970078.47,18560084401.67,37,Singapore,2007,74.27
327,E-commerce,8,3442333684.08,14587083195.46,24,Australia,2019,133.48
328,EdTech,8,4111180278.29,7725412065.47,42,Germany,2019,9.13
329,SaaS,2,3246045212.87,9945625802.01,4,Brazil,2023,165.57
330,AI,6,1407628042.18,2837837328.11,11,Singapore,2002,73.2
331,AI,7,251433829.31,1147470458.29,19,France,2015,147.66
332,Fintech,9,3789305458.02,8272667271.12,43,France,2022,156.78
333,HealthTech,9,230641984.27,858106903.12,31,France,2011,72.03
334,Biotech,9,4369722781.87,12890999403.12,45,China,2002,7.45
335,EdTech,4,1750683155.84,3120112261.02,43,Brazil,2004,65.88
336,EdTech,9,1625548002.76,3408525773.54,27,Canada,2009,111.92
337,Blockchain,6,1676572969.31,7753709293.74,7,USA,2018,74.03
338,SaaS,6,4663152865.68,22805435916.67,18,India,2015,118.11
339,Biotech,10,1623426888.69,7676553083.0,1,Australia,2012,194.84
340,AI,2,1003881232.9,2796426952.43,1,India,2016,138.0
341,Fintech,5,4227877500.87,17362043767.37,28,China,2014,174.26
342,E-commerce,10,1864209580.08,5089503846.85,47,Australia,2012,37.75
343,Fintech,5,1780270982.5,5740360069.72,43,France,2018,143.12
344,E-commerce,3,1760051855.11,5645709260.87,41,France,2016,194.99
345,EdTech,9,10028813.43,24664765.74,36,Australia,2009,42.73
346,HealthTech,9,3175452268.55,10934068071.67,35,India,2015,43.05
347,Biotech,8,1544091977.94,7279467787.41,37,Australia,2015,141.52
348,Blockchain,3,4843785979.4,13046963460.84,15,Brazil,2010,38.45
349,AI,6,62049936.48,130113625.0,19,USA,2011,117.19
350,AI,3,4044917794.36,12764768343.4,42,UK,2000,175.01
351,E-commerce,5,3416933224.89,11245547167.9,44,Brazil,2019,161.18
352,Blockchain,4,3587854634.7,8324601076.85,36,UK,2015,119.52
353,Blockchain,9,1422023272.53,7107966292.07,11,Australia,2010,66.76
354,SaaS,1,3511025818.67,6984359727.46,7,China,2005,72.78
355,EdTech,7,2547693389.83,11899602710.25,50,USA,2008,145.64
356,HealthTech,5,2372278462.7,9754796016.22,1,China,2002,96.85
357,Biotech,5,2172154534.84,5318543514.43,9,USA,2019,26.91
358,Biotech,8,3065765126.77,5006863185.35,38,Singapore,2016,84.74
359,Fintech,5,3518787976.02,14521282905.81,8,Singapore,2017,112.45
360,E-commerce,9,1137348965.41,5383824724.71,17,Canada,2016,73.01
361,EdTech,3,850720932.48,3806741828.59,46,Australia,2007,35.39
362,E-commerce,4,1819132027.73,4360825655.27,34,Germany,2000,63.48
363,EdTech,10,4159273795.93,16057690572.58,13,Brazil,2003,181.91
364,Biotech,7,1897673513.88,4597855630.78,46,Australia,2004,76.98
365,HealthTech,1,3223093026.56,5060395685.45,26,Germany,2017,54.91
366,AI,8,2095633329.76,3302567190.48,28,Germany,2013,73.14
367,Fintech,7,2562781526.29,3937979946.33,13,France,2006,41.48
368,Biotech,2,2457235232.17,10732170703.14,14,UK,2016,24.84
369,HealthTech,6,4995603165.48,8977952853.02,17,Singapore,2015,23.99
370,HealthTech,4,308665901.04,666200580.6,1,USA,2008,32.66
371,Fintech,2,2880572766.75,4603853698.27,10,Canada,2022,91.82
372,Blockchain,3,2181697848.02,5314637540.46,18,UK,2007,81.03
373,SaaS,4,4685071784.91,8981836184.32,34,USA,2009,60.57
374,SaaS,10,3250711927.97,8910023275.32,43,USA,2017,167.03
375,Biotech,3,4871984847.89,15853976426.64,48,China,2000,141.04
376,Biotech,9,1855420999.01,5533572287.92,3,India,2017,196.74
377,AI,1,2990998926.15,10215873119.99,4,France,2003,65.71
378,HealthTech,1,979033129.98,2498906978.64,20,India,2012,170.68
379,Biotech,7,1085455489.89,3944636468.7,10,Australia,2002,189.53
380,AI,7,3252215197.7,13279372135.46,18,UK,2018,172.16
381,AI,1,3132685185.72,13178905501.85,10,India,2011,184.37
382,Biotech,1,154202301.03,407827261.21,48,Australia,2011,86.85
383,Biotech,8,4709711131.94,8566272045.87,17,Singapore,2001,70.63
384,SaaS,7,3785417699.27,13783956658.14,14,Singapore,2012,83.25
385,AI,10,1070044442.74,3072483280.16,27,China,2023,43.38
386,Blockchain,6,1109052376.8,5116554297.92,9,UK,2010,28.18
387,Blockchain,9,196943519.68,784352291.28,20,China,2016,99.08
388,Blockchain,1,3096338151.71,7184699638.76,16,Singapore,2006,47.04
389,EdTech,5,2314233330.36,8909969303.17,50,China,2023,97.42
390,Fintech,4,1688104532.56,3753675824.5,19,Brazil,2015,29.4
391,Fintech,1,2154482616.25,3811044644.9,7,UK,2013,160.03
392,HealthTech,7,655969417.67,2189254237.43,23,China,2009,193.76
